Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap
'013092AA',US013092AA91,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,7.5,3/15/26,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,608,111.75,1.8125,0.04566,0,1.195,2.391,1.191,2.696,230,112.25,1.583,0.04621,1.227,2.137,1.222,2.439,204,-0.238,-0.251,210,186,221,192
'013092AB',US013092AB74,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,5.875,2/15/28,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,760,107.25,1.909375,0.05487,0,1.565,3.927,3.028,4.058,346,108,1.73,0.05568,1.599,3.526,2.649,3.792,321,-0.52,-0.537,324,298,341,313
'013092AF',US013092AF88,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,3.25,3/15/26,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,760,100.875,0.920833,0.05117,0,3.486,3.001,4.094,2.98,257,101.034,0.822,0.05168,3.517,2.958,4.079,2.941,252,-0.059,-0.101,246,241,253,248
'013092AG',US013092AG61,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,3.5,3/15/29,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,760,99.533,0.991667,0.05053,0,7.045,3.565,6.115,3.424,272,99.75,0.885,0.05106,7.077,3.534,6.07,3.379,271,-0.109,-0.015,257,256,270,268
'013092AD',US013092AD31,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,3.5,2/15/23,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,760,102.625,1.1375,0.05215,0,1.916,2.157,1.914,2.164,207,102.5,1.031,0.05253,1.945,2.239,1.943,2.247,213,0.224,0.188,194,199,196,200
'013092AE',US013092AE14,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,4.875,2/15/30,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,1013.3,108.5,1.584375,0.07377,0,3.729,3.489,5.831,3.429,267,109.37,1.435,0.07496,3.765,3.288,5.667,3.276,256,-0.651,-0.572,265,254,265,252
'013092AC',US013092AC57,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,ACI,4.625,1/15/27,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,1368,105.16,1.888542,0.09685,0,4.451,3.509,3.888,3.442,294,105.414,1.747,0.09787,4.483,3.462,3.825,3.385,289,-0.105,-0.132,281,276,291,284
'004498AB',US004498AB73,ACI Worldwide Inc,ACIW,5.75,8/15/26,B1,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SENR,405.3,106.75,1.86875,0.02912,0,0.655,2.006,0.654,2.364,191,106.125,1.693,0.02917,0.682,2.999,0.763,3.353,290,0.743,0.738,137,216,182,278
'00774CAB',US00774CAB37,Aecom,ACM,5.125,3/15/27,BB3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,1009.7,111,1.238542,0.07495,0,5.155,3.104,5.24,3.121,261,111.75,1.082,0.07606,5.191,2.984,5.268,3,249,-0.526,-0.527,270,259,260,248
'00766TAD',US00766TAD28,Aecom,ACM,5.875,10/15/24,BB3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,807.9,110.53,0.930208,0.05956,0,3.235,2.774,3.238,2.803,256,111,0.751,0.06028,3.267,2.669,3.27,2.696,244,-0.26,-0.309,261,248,250,237
'00489LAA',US00489LAA17,ACRISURE LLC / ACRISURE FIN INC,ACRISU,7,11/15/25,CCC2,USD,US,Corporate,Financial,Insurance,Insurance Brokerage,SENR,937.3,103.3895,0.525,0.06442,0,0.886,5.068,1.118,5.298,494,102.5,0.311,0.06434,1.807,5.63,2.024,5.862,549,1.073,1.041,425,531,485,538
'00489LAC',US00489LAC72,ACRISURE LLC / ACRISURE FIN INC,ACRISU,8.125,2/15/24,B2,USD,US,Corporate,Financial,Insurance,Insurance Brokerage,SECR,962.7,104.5,2.640625,0.06822,0,0.171,5.253,0.174,5.303,513,105,2.392,0.06902,0.202,3.321,0.205,3.352,316,-0.234,-0.238,516,147,499,307
'00489LAD',US00489LAD55,ACRISURE LLC / ACRISURE FIN INC,ACRISU,10.125,8/1/26,CCC2,USD,US,Corporate,Financial,Insurance,Insurance Brokerage,SENR,405.3,114.25,3.684375,0.03161,0,1.471,5.401,1.535,5.74,532,113.25,3.375,0.03156,1.495,6.038,1.78,6.346,592,1.123,1.096,502,564,522,580
'00653GAB',US00653GAB05,Adani Abbot Point Terminal Pty. Ltd.,ADAABB,4.45,12/15/22,BB1,USD,AU,Corporate,Industrials,Transportation,Transport Infrastructure/Services,SENR,506.7,95.07832,2.187917,0.0326,0,1.833,7.123,1.874,7.124,704,94.561,2.052,0.03268,1.86,7.371,1.858,7.371,727,0.677,0.642,662,680,693,714
'00653VAA',US00653VAA98,Adapthealth Llc,ADAHEA,6.125,8/1/28,B1,USD,US,Corporate,Industrials,Healthcare,Medical Products,SENR,354.7,105.75,2.262847,0.02534,0,2.373,4.874,4.256,4.836,420,107.75,2.076,0.02601,2.414,4.122,3.666,4.307,369,-1.651,-1.658,404,355,416,363
'00688JAB',US00688JAB35,Adient US LLC,ADNT,9,4/15/25,B1,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SECR,608,111.65,1.425,0.04547,0,1.262,3.349,1.259,3.55,326,111.25,1.15,0.04563,1.289,3.734,1.286,3.942,364,0.601,0.585,317,356,317,352
'00687YAA',US00687YAA38,Adient Global Holdings Ltd,ADNT,4.875,8/15/26,B3,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SENR,912,103.121,1.584375,0.06316,0,0.651,3.742,1.888,3.817,336,100.845,1.435,0.06228,3.313,4.622,4.027,4.594,414,2.371,2.34,335,395,331,410
'00688JAA',US00688JAA51,Adient US LLC,ADNT,7,5/15/26,B1,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SECR,810.7,108.402,0.525,0.0584,0,1.355,3.33,1.368,3.661,325,108.25,0.311,0.05876,1.384,3.5,1.409,3.826,341,0.337,0.319,319,337,315,328
'00101JAF',US00101JAF30,The ADT Corporation,ADT,3.5,7/15/22,BB3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,1013.3,102.3675,1.429167,0.06956,0,1.526,1.981,1.523,1.981,190,102.375,1.322,0.07015,1.556,2.004,1.552,2.004,191,0.096,0.073,180,178,180,178
'00101JAH',US00101JAH95,The ADT Corporation,ADT,4.125,6/15/23,BB3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,709,104.7825,2.028125,0.05008,0,2.34,2.156,2.338,2.156,205,105.375,1.902,0.05078,2.374,1.945,2.371,1.945,181,-0.435,-0.477,198,173,195,170
'74166NAA',US74166NAA28,The ADT Corporation,ADT,4.875,7/15/32,BB3,USD,US,Corporate,Industrials,Services,Support-Services,SECR,737.7,109,1.990625,0.05415,0,8.785,3.902,8.891,3.902,301,104.5,1.842,0.05237,8.728,4.376,8.819,4.376,354,4.372,4.742,304,348,298,350
'00791GAA',US00791GAA58,Advisor Group Holdings Inc,ADVGRO,10.75,8/1/27,CCC2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,418.5,107.25,3.911806,0.03077,0,3.518,8.805,3.807,8.942,844,107.875,3.583,0.03114,3.553,8.656,3.766,8.786,829,-0.266,-0.298,840,828,840,825
'00119LAA',US00119LAA98,AG Issuer LLC,ADVGRO,6.25,3/1/28,B2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SECR,506.7,101.25,1.753472,0.03452,0,3.608,5.908,4.911,5.885,530,100.5,1.562,0.03453,3.632,6.111,5.019,6.038,547,0.922,0.943,510,526,527,544
'00775PAA',US00775PAA57,Advantage Solutions Finco Llc,ADVSAL,6.5,11/15/28,B2,USD,US,Corporate,Industrials,Media,Advertising,SECR,785.3,104,0.794444,0.05443,0,4.162,5.557,5.048,5.607,496,102.25,0.596,0.05392,4.177,5.966,5.32,5.954,533,1.895,1.936,487,520,494,530
'00773HAA',US00773HAA59,Aercap Global Aviation Trust,AER,6.5,6/15/25,BB1,USD,NL,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,JSUB,506.7,100.7,3.195833,0.03482,0,3.741,5.034,3.031,4.591,412,96,2.997,0.03349,3.729,5.403,2.8,5.125,467,4.948,4.825,424,459,419,476
'00774YAA',US00774YAA73,AerCap Holdings N.V.,AER,5.875,10/10/24,BB2,USD,NL,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,JSUB,760,99.681,1.011806,0.05061,0,3.35,5.126,2.316,4.11,380,94.525,0.832,0.04838,3.342,5.42,1.872,4.678,442,5.595,5.38,400,434,382,445
'233293AQ',US233293AQ29,DPL Inc.,AES,4.35,4/15/29,BB1,USD,US,Corporate,Utility,Utility,Electric-Generation,SENR,404.9,111.5,0.68875,0.03004,0,6.845,2.755,6.995,2.761,206,112.25,0.556,0.03049,6.883,2.663,7.02,2.668,200,-0.547,-0.387,212,206,204,197
'233293AS',US233293AS84,DPL Inc.,AES,4.125,7/1/25,BB1,USD,US,Corporate,Utility,Utility,Electric-Generation,SENR,420.5,107.5,1.982292,0.03045,0,3.883,2.285,3.936,2.308,198,106.25,1.856,0.03035,3.904,2.591,3.966,2.61,227,1.273,1.22,198,226,194,223
'008674AH',US008674AH66,Ahern Rentals Inc.,AHEREN,7.375,5/15/23,CCC2,USD,US,Corporate,Industrials,Services,Support-Services,SECR,557.3,72.25,0.553125,0.02683,0,1.989,22.903,1.985,22.903,2284,69.25,0.328,0.02589,1.995,24.832,1.991,24.832,2476,4.636,4.6,1841,1945,2274,2464
'86024TAA',US86024TAA51,Stevens Holding Co Inc,AIMC,6.125,10/1/26,B2,USD,US,Corporate,Industrials,Capital Goods,Diversified Capital Goods,SENR,405.3,108.625,1.207986,0.02944,0,2.557,3.396,2.862,3.688,323,108.375,1.021,0.0296,2.585,3.51,2.904,3.78,332,0.4,0.358,318,327,315,323
'37960BAA',US37960BAA35,Global Medical Response Incorporated,AIMEGR,6.5,10/1/25,B2,USD,US,Corporate,Industrials,Healthcare,Health Services,SECR,608,104,1.263889,0.04233,0,2.52,4.95,2.164,5.1,476,103,1.065,0.04224,2.544,5.341,2.878,5.482,513,1.152,1.107,440,494,468,505
'00215JAA',US00215JAA79,ASP AMC Merger Sub Inc,AIRM,8,5/15/25,CCC3,USD,US,Corporate,Industrials,Healthcare,Health Services,SENR,506.7,82.791,0.6,0.02795,0,3.485,13.26,3.491,13.26,1297,83.5,0.356,0.02837,3.521,12.991,3.527,12.991,1269,-0.554,-0.601,1140,1120,1293,1264
'04621XAK',US04621XAK46,Assurant Inc.,AIZ,7,3/27/28,BB1,USD,US,Corporate,Financial,Insurance,P&C,SUB,405.3,112,1.458333,0.03041,0,5.71,4.627,5.139,4.039,334,111,1.244,0.03037,5.727,4.699,5.111,4.151,345,1.081,1.095,374,382,340,351
'00973RAC',US00973RAC79,Aker Bp Asa,AKERBP,5.875,3/31/25,BB1,USD,NO,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,506.7,103.9576,1.175,0.03523,0,0.297,2.356,0.295,2.59,230,103.499,0.995,0.03535,0.324,3.997,0.838,4.237,393,0.61,0.599,140,389,216,381
'01021FAA',US01021FAA75,AKUMIN INC,AKUCN,7,11/1/25,B3,USD,US,Corporate,Industrials,Healthcare,Health Facilities,SECR,405.3,104.25,0.777778,0.02815,0,3.358,5.761,3.518,5.834,548,102.75,0.564,0.02796,3.377,6.196,3.715,6.244,588,1.659,1.61,544,580,543,583
'01551UAC',US01551UAC80,Algeco Scotsman Global Finance Plc,ALGSCO,8,2/15/23,B2,USD,US,Corporate,Industrials,Services,Support-Services,SECR,526.9,102.45,2.6,0.03661,0,0.171,5.168,0.173,5.148,505,101.75,2.356,0.03662,1.113,6.454,1.109,6.451,633,0.907,0.896,502,626,491,622
'015514AA',US015514AA05,Algeco Scotsman Global Finance 2 Plc,ALGSCO,10,8/15/23,CCC1,USD,US,Corporate,Industrials,Services,Support-Services,SENR,309.1,101.5,3.25,0.02141,0,1.06,8.609,1.062,8.606,849,101.25,2.944,0.0215,1.088,8.861,1.089,8.871,873,0.533,0.522,846,865,841,862
'01883LAB',US01883LAB99,Alliant Holdings Intermediate LLC/Alliant Holdings Co-Issuer Inc,ALIANT,4.25,10/15/27,B2,USD,US,Corporate,Financial,Insurance,Insurance Brokerage,SECR,532,101.25,0.672917,0.03586,0,4.316,3.963,5.197,3.928,335,101.5,0.543,0.03624,4.348,3.908,5.169,3.876,332,-0.118,-0.107,325,322,334,329
'01883LAA',US01883LAA17,Alliant Holdings Intermediate LLC/Alliant Holdings Co-Issuer Inc,ALIANT,6.75,10/15/27,CCC2,USD,US,Corporate,Financial,Insurance,Insurance Brokerage,SENR,1357.9,106.75,1.06875,0.09683,0,1.711,4.655,2.859,4.85,430,107,0.863,0.09779,1.742,4.551,2.783,4.77,423,-0.041,-0.066,418,413,423,414
'02005NBF',US02005NBF69,Ally Financial Inc.,ALLY,5.75,11/20/25,BB1,USD,US,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,T2,1064,116.4696,0.351389,0.08221,0,4.296,2.161,4.314,2.17,180,116.801,0.176,0.0831,4.327,2.115,4.344,2.123,174,-0.133,-0.185,190,184,177,171
'01771YAA',US01771YAA82,Allen Media LLC / Allen Media Co-Issuer Inc,ALNMED,10.5,2/15/28,CCC1,USD,US,Corporate,Industrials,Media,Advertising,SENR,304,103,3.4125,0.0214,0,3.824,9.741,4.424,9.776,922,103.25,3.092,0.02158,3.856,9.683,4.417,9.715,918,0.067,0.068,905,903,920,915
'02073MAA',US02073MAA71,ALPHA 2 B.V.,ALPTHR,8.75,6/1/23,CCC2,USD,NL,Corporate,Industrials,Basic Industry,Chemicals,SENR,263.5,100.75,0.267361,0.0176,0,0.453,7.088,0.452,7.135,703,100.75,0,0.01772,0.483,7.196,0.481,7.266,714,0.265,0.263,652,693,691,699
'019736AE',US019736AE70,Allison Transmission Inc.,ALSN,4.75,10/1/27,BB3,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SENR,405.3,104.25,0.936805,0.0282,0,1.706,3.579,3.394,3.605,304,105.8,0.792,0.02884,1.744,2.754,2.617,3.051,250,-1.318,-1.34,289,234,299,240
'019736AF',US019736AF46,Allison Transmission Inc.,ALSN,5.875,6/1/29,BB3,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SENR,506.7,111.5,0.179514,0.03743,0,3.154,3.157,4.166,3.469,277,111.5,0,0.03772,3.184,3.177,4.143,3.459,279,0.161,0.16,284,286,273,274
'019736AG',US019736AG29,Allison Transmission Inc.,ALSN,3.75,1/30/31,BB3,USD,US,Corporate,Industrials,Automotive,Auto Parts & Equipment,SENR,1013.3,101.375,0.239583,0.0681,0,6.957,3.552,7.514,3.444,262,100.875,0.125,0.06833,6.981,3.624,7.562,3.512,273,0.609,0.852,251,261,259,270
'02079UAA',US02079UAA34,Alpha 3 B.V./ Alpha US Bidco Inc,ALTHBD,6.25,2/1/25,CCC2,USD,DE,Corporate,Industrials,Basic Industry,Chemicals,SENR,430.7,101.875,2.274306,0.02967,0,0.134,3.8,0.137,3.932,365,101.75,2.083,0.02986,1.097,4.684,0.671,4.848,455,0.304,0.297,364,451,351,444
'02154CAE',US02154CAE30,Altice Financing S.A.,ALTICE,7.5,5/15/26,B2,USD,FR,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SECR,2786.7,105.135,3.0625,0.19941,0,0.405,4.035,0.402,4.372,396,105.5,2.833,0.20155,0.436,3.467,0.433,3.801,338,-0.125,-0.128,217,196,384,324
'02154CAF',US02154CAF05,Altice Financing S.A.,ALTICE,5,1/15/28,B2,USD,FR,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SECR,1216,102.595,2.041667,0.08415,0,3.606,4.3,4.497,4.323,373,102.5,1.889,0.08475,3.635,4.33,4.54,4.345,377,0.237,0.243,353,357,370,373
'03690AAC',US03690AAC09,Antero Midstream Partners LP / Antero Midstream Finance Corp,AM,5.375,9/15/24,B2,USD,US,Corporate,Industrials,Energy,Gas Distribution,SENR,658.7,97,1.298958,0.04282,0,3.3,6.28,3.299,6.28,605,93.5,1.135,0.04162,3.304,7.369,3.31,7.369,712,3.872,3.824,580,668,599,706
'03690AAD',US03690AAD81,Antero Midstream Partners LP / Antero Midstream Finance Corp,AM,5.75,3/1/27,B2,USD,US,Corporate,Industrials,Energy,Gas Distribution,SENR,658.7,95.5,1.613194,0.04231,0,5.038,6.643,5.007,6.639,614,91.125,1.438,0.04071,5.017,7.555,5.041,7.555,706,4.916,4.921,585,656,613,705
'03690AAF',US03690AAF30,Antero Midstream Partners LP / Antero Midstream Finance Corp,AM,5.75,1/15/28,B2,USD,US,Corporate,Industrials,Energy,Gas Distribution,SENR,658.7,95.25,2.347917,0.04252,0,5.564,6.598,5.518,6.589,601,90,2.172,0.04054,5.521,7.592,5.557,7.592,703,5.886,5.94,570,646,599,701
'03690EAA',US03690EAA64,Antero Midstream Partners LP / Antero Midstream Finance Corp,AM,7.875,5/15/26,B3,USD,US,Corporate,Industrials,Energy,Gas Distribution,SENR,557.3,102.543,0.7,0.03805,0,3.674,7.191,4.056,7.219,681,100.288,0.459,0.03748,3.685,7.795,4.175,7.771,736,2.477,2.439,674,720,678,733
'12597YAA',US12597YAA73,CP Atlas Buyer Inc.,AMBATH,7,12/1/28,CCC2,USD,US,Corporate,Industrials,Retail,Specialty Retail,SENR,339.5,104.25,0.330556,0.02348,0,4.161,5.997,5.039,6.058,541,103.5,0.117,0.02349,4.185,6.175,5.154,6.204,558,0.93,0.962,535,550,539,555
'00165CAN',US00165CAN48,AMC Entertainment Holdings Inc,AMC,10.5,4/15/25,CCC2,USD,US,Corporate,Industrials,Leisure,Theaters & Entertainment,SECR,506.7,70.5,1.6625,0.02418,0,3.035,21.207,3.04,21.207,2094,80,1.342,0.02752,3.186,17.177,3.19,17.177,1689,-11.285,-11.328,1675,1454,2090,1684
'00165CAP',US00165CAP95,AMC Entertainment Holdings Inc,AMC,10,6/15/26,C,USD,US,Corporate,Industrials,Leisure,Theaters & Entertainment,SUB,1479.5,24.375,3.666667,0.02744,0,2.042,53.987,2.045,53.987,5369,25.75,3.361,0.02875,2.156,51.522,2.158,51.522,5122,-3.674,-3.694,2307,2275,5365,5117
'00164VAE',US00164VAE39,AMC Networks Inc,AMCX,4.75,8/1/25,BB3,USD,US,Corporate,Industrials,Media,Media Content,SENR,810.7,102.75,1.728472,0.05602,0,2.426,3.645,2.053,3.746,341,102.949,1.583,0.05658,2.457,3.579,1.908,3.669,332,-0.052,-0.081,336,326,334,323
'00164VAC',US00164VAC72,AMC Networks Inc,AMCX,4.75,12/15/22,BB3,USD,US,Corporate,Industrials,Media,Media Content,SENR,405.3,100.25,2.335417,0.0275,0,0.078,1.645,0.08,1.74,165,100.125,2.19,0.02769,0.081,3.238,0.08,3.226,312,0.264,0.26,154,304,151,303
'00164VAD',US00164VAD55,AMC Networks Inc,AMCX,5,4/1/24,BB3,USD,US,Corporate,Industrials,Media,Media Content,SENR,1013.3,101,0.986111,0.06835,0,1.241,4.198,1.378,4.289,411,101.662,0.833,0.06934,0.327,3.672,0.77,3.77,357,-0.497,-0.505,401,347,402,344
'007903AX',US007903AX53,Advanced Micro Devices Inc.,AMD,7.5,8/15/22,BB1,USD,US,Corporate,Industrials,Technology & Electronics,Electronics,SENR,316.2,110,2.4375,0.02351,0,1.564,1.435,1.563,1.435,135,110.25,2.208,0.02374,1.595,1.396,1.593,1.396,129,-0.019,-0.044,131,123,125,117
