,weights
CAH,0.036
HBAN,0.029
FE,0.034
CB,0.171
EXC,0.096
PRU,0.075
RF,0.036
WRB,0.022
FOX,0.01
UNM,0.01
ETR,0.051
LUMN,0.024
SYF,0.042
SLG,0.01
BK,0.08
KIM,0.015
VNO,0.015
IR,0.04
CMA,0.018
FITB,0.047
HIG,0.041
DFS,0.061
KEY,0.039
FRT,0.016
LEG,0.014
LW,0.028
JBHT,0.028
TXT,0.027
MGM,0.031
FBHS,0.028
ALLE,0.027
WYNN,0.026
XRAY,0.028
PHM,0.029
WHR,0.029
AAP,0.026
BIO,0.03
UHS,0.026
JKHY,0.03
CINF,0.031
AOS,0.019
SJM,0.033
CHRW,0.031
IEX,0.035
CTLT,0.038
PKI,0.038
HPE,0.038
EXPD,0.037
DPZ,0.037
DRI,0.037
BF.B,0.036
OMC,0.035
WAB,0.033
TDY,0.035
TIF,0.035
J,0.035
LDOS,0.034
MAS,0.034
IT,0.034
CBOE,0.025
L,0.025
HSIC,0.024
LKQ,0.025
HBI,0.013
HII,0.017
IVZ,0.017
PRGO,0.016
PVH,0.016
PBCT,0.014
FLIR,0.014
RL,0.012
ZION,0.017
VNT,0.011
FLS,0.011
XRX,0.011
UAA,0.008
UA,0.007
NWS,0.006
NWSA,0.017
JNPR,0.018
CPB,0.025
IPG,0.023
SNA,0.024
CTXS,0.039
LNC,0.024
BWA,0.024
RE,0.023
GL,0.023
WU,0.023
IPGP,0.018
TAP,0.022
NRG,0.02
TPR,0.02
MHK,0.02
DISCK,0.019
ROL,0.019
K,0.039
CAG,0.043
KMX,0.04
EQR,0.053
STE,0.041
AFL,0.076
MAA,0.035
BXP,0.037
DVA,0.02
QRVO,0.045
REG,0.019
BA,0.315
LB,0.021
GPS,0.011
F,0.09
YUM,0.079
IRM,0.02
KEYS,0.057
STX,0.035
PNR,0.021
IBM,0.275
CDNS,0.082
TSCO,0.039
TSN,0.051
AMP,0.059
UAL,0.036
O,0.052
PFG,0.033
ALK,0.016
DAL,0.068
NTRS,0.048
CCL,0.03
TEL,0.097
TDG,0.081
HSY,0.055
HWM,0.024
BRK.B,1.144
MMM,0.247
ULTA,0.041
SIVB,0.046
LEN,0.052
TTWO,0.05
WST,0.05
EFX,0.05
ODFL,0.049
HOLX,0.047
GWW,0.045
PAYC,0.052
DOV,0.044
XYL,0.043
GRMN,0.043
TRV,0.086
TYL,0.042
COO,0.041
VTRS,0.052
EXPE,0.043
TMUS,0.191
WBA,0.077
HCA,0.101
IDXX,0.098
ALGN,0.092
XLNX,0.088
MAR,0.088
JCI,0.085
ANSS,0.072
CPRT,0.059
ROK,0.071
GLW,0.071
ADM,0.069
VFC,0.069
MTD,0.068
ED,0.063
CERN,0.056
